"Razão Social (Registro ANS)";"Cobertura";"Porte";"Classificação no Mês";"Classificação no Mês Anterior";"ago/22";"jul/22";"jun/22";"mai/22";"abr/22";"mar/22";"fev/22";"jan/22";"dez/21";"nov/21";"out/21";"set/21";"Competência";"Data de atualização"
"ASSOCIAÇÃO SANTA CASA CLÍNICAS DE BIRIGUI (420786)";"Médico Hospitalar";"Pequeno";"173";"186";"0,00";"0,00";"0,00";"   1,64";"    1,65";"   1,65";"0,00";"0,00";"0,00";"   0,83";"   2,48";"   3,31";"202208";"13/09/2022 15:15:14"
"ASSOCIAÇÃO SANTA CASA SAÚDE DE ARAÇATUBA (418803)";"Médico Hospitalar";"Pequeno";"126";"116";"   1,59";"   2,12";"   1,61";"   2,17";"    2,20";"   2,21";"   1,11";"   2,22";"   1,67";"   1,67";"   0,56";"   1,12";"202208";"13/09/2022 15:15:14"
"ASSOCIAÇÃO SANTA CASA SAÚDE DE SÃO JOSÉ DOS CAMPOS (419249)";"Médico Hospitalar";"Médio";"45";"47";"   5,11";"   6,22";"   6,97";"   8,83";"    8,09";"   8,82";"   7,45";"   8,10";"   7,38";"   7,30";"   7,21";"   6,74";"202208";"13/09/2022 15:15:14"
"ASSOCIAÇÃO SÃO FRANCISCO VIDA (419141)";"Médico Hospitalar";"Médio";"50";"43";"   4,78";"   6,59";"   9,50";"  12,03";"   10,93";"   7,64";"   4,00";"   2,90";"   4,71";"   6,49";"   8,99";"   7,18";"202208";"13/09/2022 15:15:14"
"ASSOCIAÇÃO SÃO LUIZ SAÚDE (421006)";"Médico Hospitalar";"Pequeno";"173";"186";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"202208";"13/09/2022 15:15:14"
"ASSOCIAÇÃO SAÚDE CONCEIÇÃO (330892)";"Médico Hospitalar";"Pequeno";"158";"169";"   0,76";"   0,76";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"202208";"13/09/2022 15:15:14"
"ASSOCIAÇÃO SAÚDE RURAL ALEGRETE (418218)";"Médico Hospitalar";"Pequeno";"173";"186";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"202208";"13/09/2022 15:15:14"
"ASSOCIAÇÃO SAÚDE SÃO JOSÉ (418919)";"Médico Hospitalar";"Pequeno";"132";"134";"   1,46";"   1,48";"   0,75";"   0,76";"    0,75";"   0,75";"   2,20";"   3,66";"   4,40";"   4,36";"   2,15";"   1,42";"202208";"13/09/2022 15:15:14"
"ASSOCIAÇAO UNISAUDE MARAU (333867)";"Médico Hospitalar";"Pequeno";"173";"186";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"202208";"13/09/2022 15:15:14"
"ASSOCIAÇÃO UNIVIDA SANTA RITA DO PASSA QUATRO (420123)";"Médico Hospitalar";"Pequeno";"173";"186";"0,00";"0,00";"0,00";"   3,97";"    3,97";"   7,95";"   3,97";"   3,96";"   7,88";"  11,76";"  11,71";"   3,89";"202208";"13/09/2022 15:15:14"
"ASSOCIAÇÃO VALEPARAIBANA DE ASSISTÊNCIA MÉDICA POLICIAL (412635)";"Médico Hospitalar";"Pequeno";"50";"54";"   7,27";"   7,20";"  10,70";"  12,29";"   10,30";"   5,01";"   3,28";"   1,61";"   1,60";"0,00";"0,00";"0,00";"202208";"13/09/2022 15:15:14"
"ATITUDE SAÚDE ASSISTÊNCIA MEDICA LTDA (422151)";"Médico Hospitalar";"Pequeno";"173";"186";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"  37,93";" 133,93";" 210,73";" 333,01";" 349,12";" 325,17";"202208";"13/09/2022 15:15:14"
"ATÍVIA SERVIÇOS DE SAÚDE S/A (320510)";"Médico Hospitalar";"Médio";"23";"24";"  10,26";"  10,65";"  10,57";"  13,77";"   11,91";"  11,37";"   8,11";"   9,27";"   9,38";"  11,04";"  10,67";"  12,51";"202208";"13/09/2022 15:15:14"
"AUSTACLINICAS ASSISTÊNCIA MÉDICA E HOSPITALAR LTDA (327417)";"Médico Hospitalar";"Médio";"124";"135";"   1,10";"   1,10";"   0,73";"   1,10";"    1,35";"   1,23";"   1,10";"   1,23";"   1,77";"   1,57";"   1,22";"   1,09";"202208";"13/09/2022 15:15:14"
"BARDELLA S/A INDÚSTRIAS MECÂNICAS (346403)";"Médico Hospitalar";"Pequeno";"173";"186";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"202208";"13/09/2022 15:15:14"
"BENEFICENCIA CAMILIANA DO SUL (318299)";"Médico Hospitalar";"Médio";"100";"85";"   1,74";"   2,76";"   2,77";"   3,53";"    3,11";"   3,27";"   2,84";"   2,25";"   2,25";"   1,96";"   2,57";"   3,19";"202208";"13/09/2022 15:15:14"
"BENEFICÊNCIA SOCIAL BOM SAMARITANO (421189)";"Médico Hospitalar";"Pequeno";"173";"186";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"202208";"13/09/2022 15:15:14"
"BENSAUDE PLANO DE ASSISTENCIA MEDICA HOSPITALAR LTDA. (366561)";"Médico Hospitalar";"Médio";"185";"171";"   0,38";"   0,57";"   0,58";"   0,96";"    1,35";"   1,55";"   1,16";"   0,78";"   0,58";"   0,59";"   0,59";"   0,39";"202208";"13/09/2022 15:15:14"
"BEST SENIOR OPERADORA DE SAÚDE LTDA (421766)";"Médico Hospitalar";"Pequeno";"27";"42";"  17,74";"  11,05";"  11,89";"  13,13";"   14,69";"  32,07";"  34,90";"  37,14";"  26,14";"  34,89";"  52,36";"  70,90";"202208";"13/09/2022 15:15:14"
"BIO SAÚDE SERVIÇOS MÉDICOS LTDA (402966)";"Médico Hospitalar";"Grande";"20";"15";"   7,68";"  10,13";"  11,77";"  13,07";"   13,88";"  13,24";"  10,77";"  10,67";"  10,49";"  12,44";"  10,13";"   9,65";"202208";"13/09/2022 15:15:14"
"BIOVIDA SAÚDE LTDA. (415111)";"Médico Hospitalar";"Médio";"18";"15";"  11,04";"  14,40";"  16,55";"  19,63";"   20,68";"  20,27";"  18,22";"  19,25";"  20,18";"  20,58";"  21,39";"  22,41";"202208";"13/09/2022 15:15:14"
"BRADESCO SAÚDE - OPERADORA DE PLANOS  S/A (421715)";"Médico Hospitalar";"Grande";"51";"52";"   3,43";"   4,18";"   4,02";"   3,98";"    4,12";"   4,24";"   4,51";"   4,21";"   4,13";"   4,38";"   5,26";"   5,91";"202208";"13/09/2022 15:15:14"
"BRADESCO SAÚDE S.A. (005711)";"Médico Hospitalar";"Grande";"13";"13";"   9,08";"  10,33";"  10,48";"  11,14";"   10,57";"  11,15";"  11,43";"  12,67";"  12,83";"  13,17";"  13,47";"  14,01";"202208";"13/09/2022 15:15:14"
"BRF S/A (417238)";"Médico Hospitalar";"Médio";"203";"93";"0,00";"0,00";"0,00";"0,00";"0,00";"   0,09";"   0,28";"   0,28";"   0,19";"   0,09";"   0,09";"   0,09";"202208";"13/09/2022 15:15:14"
"CABERJ INTEGRAL SAÚDE S.A (415774)";"Médico Hospitalar";"Médio";"51";"40";"   4,61";"   6,69";"   7,03";"   6,49";"    4,70";"   5,65";"   7,91";"   9,43";"  13,42";"  16,37";"  19,93";"  17,05";"202208";"13/09/2022 15:15:14"
"CAIXA ASSISTENCIAL DOS AUDITORES FISCAIS DA RECEITA FEDERAL DO BRASIL (416657)";"Médico Hospitalar";"Pequeno";"173";"186";"0,00";"0,00";"  47,62";"  41,55";"   36,86";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"202208";"13/09/2022 15:15:14"
"CAIXA ASSISTENCIAL E BENEFICENTE DOS FUNCIONÁRIOS DA ACARESC (327557)";"Médico Hospitalar";"Pequeno";"156";"129";"   0,83";"   1,66";"   0,83";"   0,83";"0,00";"0,00";"0,00";"0,00";"   0,83";"   0,83";"   0,82";"0,00";"202208";"13/09/2022 15:15:14"
"CAIXA ASSISTENCIAL UNIVERSITARIA DO RIO DE JANEIRO (347825)";"Médico Hospitalar";"Pequeno";"69";"38";"   4,70";"  14,07";"  14,00";"   9,28";"0,00";"0,00";"0,00";"0,00";"0,00";"   4,33";"   4,30";"   4,27";"202208";"13/09/2022 15:15:14"
"CAIXA ASSISTENCIAL UNIVERSITÁRIA DO RIO GRANDE DO NORTE (314251)";"Médico Hospitalar";"Pequeno";"173";"149";"0,00";"   1,12";"   1,12";"   4,48";"    3,35";"   3,35";"0,00";"0,00";"0,00";"0,00";"   1,10";"   1,10";"202208";"13/09/2022 15:15:14"
"CAIXA BENEFICENTE DOS FUNCIONARIOS DO BANCO DO ESTADO DE SÃO PAULO (352331)";"Médico Hospitalar";"Médio";"46";"56";"   4,97";"   4,76";"   3,99";"   3,97";"    5,09";"   6,57";"   6,92";"  15,28";"  15,23";"  13,14";"   3,32";"   2,76";"202208";"13/09/2022 15:15:14"
"CAIXA BENEFICENTE DOS FUNCIONÁRIOS DO GRUPO IGUAÇU (414026)";"Médico Hospitalar";"Pequeno";"173";"186";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"202208";"13/09/2022 15:15:14"
"CAIXA DE ASSISTÊNCIA  DOS EMPREGADOS DA EMPRESA  BRASILEIRA DE PESQUISA  AGROPECUÁRIA (416401)";"Médico Hospitalar";"Médio";"97";"122";"   1,88";"   1,41";"   0,47";"0,00";"    0,47";"   1,39";"   2,76";"   2,74";"   2,28";"   1,81";"   1,35";"   1,35";"202208";"13/09/2022 15:15:14"
"CAIXA DE ASSISTÊNCIA À SAÚDE - CABERJ (324361)";"Médico Hospitalar";"Pequeno";"162";"135";"   0,73";"   1,45";"   2,17";"   2,88";"    4,31";"   4,30";"   4,99";"   9,21";"  11,98";"  11,93";"   6,98";"   6,23";"202208";"13/09/2022 15:15:14"
"CAIXA DE ASSISTENCIA A SAUDE DA UNIVERSIDADE (316873)";"Médico Hospitalar";"Pequeno";"173";"185";"0,00";"   0,50";"   0,50";"   1,00";"    0,99";"   0,99";"   0,49";"0,00";"   2,44";"   2,91";"   2,90";"   0,48";"202208";"13/09/2022 15:15:14"
"CAIXA DE ASSISTÊNCIA À SAÚDE DO SINDICATO DOS FUNCIONÁRIOS INTEGRANTES DO GRUPO OCUPACIONAL ADMINISTRAÇÃO TRIBUTÁRIA DO ESTADO DE PERNAMBUCO (417661)";"Médico Hospitalar";"Pequeno";"104";"186";"   2,39";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"   2,37";"   4,73";"   7,08";"   4,72";"   2,36";"202208";"13/09/2022 15:15:14"
"CAIXA DE ASSISTÊNCIA À SAUDE DOS EMPREGADOS DA CODEVASF - CASEC (412295)";"Médico Hospitalar";"Pequeno";"173";"186";"0,00";"0,00";"0,00";"0,00";"    2,26";"   4,54";"   4,56";"   4,57";"   2,29";"   2,31";"0,00";"0,00";"202208";"13/09/2022 15:15:14"
"CAIXA DE ASSISTÊNCIA À SAÚDE DOS SERVIDORES PÚBLICOS DO ESTADO DO MATO GROSSO DO SUL (421341)";"Médico Hospitalar";"Pequeno";"173";"186";"0,00";"0,00";"   2,44";"   3,68";"    3,70";"   1,24";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"202208";"13/09/2022 15:15:14"
"CAIXA DE ASSISTÊNCIA À SAÚDE DOS TRABALHADORES NAS INDÚSTRIAS METALÚRGICAS, MECÂNICAS E DO MATERIAL ELÉTRICO DE BRUSQUE (419851)";"Médico Hospitalar";"Pequeno";"173";"186";"0,00";"0,00";"0,00";"   1,16";"    1,16";"   1,15";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"202208";"13/09/2022 15:15:14"
"CAIXA DE ASSISTÊNCIA AOS MEMBROS DA DEFENSORIA PÚBLICA DO ESTADO DO RIO DE JANEIRO (418820)";"Médico Hospitalar";"Pequeno";"173";"186";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"   3,90";"   3,90";"   3,90";"0,00";"202208";"13/09/2022 15:15:14"
"CAIXA DE ASSISTÊNCIA DO SINDFISCO - CASSIND (413518)";"Médico Hospitalar";"Pequeno";"173";"186";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"202208";"13/09/2022 15:15:14"
"CAIXA DE ASSISTÊNCIA DOS EMPREGADOS DA CEDAE (321869)";"Médico Hospitalar";"Pequeno";"13";"33";"  37,49";"  18,11";"   6,75";"   6,47";"    5,85";"   8,88";"   9,27";"  11,41";"  10,01";"   9,93";"   8,15";"   8,98";"202208";"13/09/2022 15:15:14"
"CAIXA DE ASSISTÊNCIA DOS EMPREGADOS DA SANEAGO (363855)";"Médico Hospitalar";"Pequeno";"173";"179";"0,00";"   0,60";"   1,20";"   1,80";"    1,20";"   0,60";"0,00";"0,00";"0,00";"0,00";"   0,59";"   0,59";"202208";"13/09/2022 15:15:14"
"CAIXA DE ASSISTÊNCIA DOS EMPREGADOS DO BANCO DO ESTADO DO RIO GRANDE DO SUL (307319)";"Médico Hospitalar";"Médio";"194";"197";"   0,28";"   0,28";"   0,28";"   0,28";"    1,37";"   1,64";"   1,64";"   1,09";"   1,62";"   1,62";"   1,89";"   1,08";"202208";"13/09/2022 15:15:14"
"CAIXA DE ASSISTÊNCIA DOS EMPREGADOS DO BANEB (315583)";"Médico Hospitalar";"Pequeno";"61";"41";"   6,25";"  12,39";"  15,35";"  15,23";"   12,07";"   8,97";"   5,93";"   2,95";"   2,94";"0,00";"   2,90";"   2,89";"202208";"13/09/2022 15:15:14"
"CAIXA DE ASSISTÊNCIA DOS EMPREGADOS DO BANESE (335789)";"Médico Hospitalar";"Pequeno";"173";"186";"0,00";"0,00";"0,00";"0,00";"    2,72";"   2,72";"   2,73";"   1,36";"   1,36";"   1,35";"0,00";"0,00";"202208";"13/09/2022 15:15:14"
"CAIXA DE ASSISTÊNCIA DOS EMPREGADOS DO SETOR PÚBLICO DO ESTADO DE GOIÁS - CAEME (344184)";"Médico Hospitalar";"Pequeno";"173";"186";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"202208";"13/09/2022 15:15:14"
"CAIXA DE ASSISTÊNCIA DOS EMPREGADOS DO SISTEMA FINANCEIRO BANESTES (343331)";"Médico Hospitalar";"Pequeno";"173";"186";"0,00";"0,00";"0,00";"   1,09";"    2,17";"   4,34";"   3,24";"   3,24";"   1,08";"   1,07";"   1,07";"   1,07";"202208";"13/09/2022 15:15:14"
"CAIXA DE ASSISTÊNCIA DOS FUNCIONÁRIOS DO BANCO DA AMAZÔNIA - CASF (358754)";"Médico Hospitalar";"Pequeno";"173";"186";"0,00";"0,00";"   1,67";"   1,67";"    1,66";"0,00";"   1,64";"   4,90";"   4,87";"   6,45";"   3,20";"   3,19";"202208";"13/09/2022 15:15:14"
"CAIXA DE ASSISTÊNCIA DOS FUNCIONÁRIOS DO BANCO DO BRASIL (346659)";"Médico Hospitalar";"Grande";"44";"41";"   4,57";"   5,80";"   6,42";"   6,84";"    7,05";"   7,43";"   7,45";"   6,97";"   6,68";"   7,03";"   7,73";"   7,45";"202208";"13/09/2022 15:15:14"
"CAIXA DE ASSISTÊNCIA DOS FUNCIONÁRIOS DO BANCO DO NORDESTE DO BRASIL (385697)";"Médico Hospitalar";"Médio";"69";"71";"   2,95";"   3,21";"   3,21";"   2,68";"    4,28";"   6,67";"   6,92";"   6,38";"   5,85";"   6,38";"   5,84";"   3,98";"202208";"13/09/2022 15:15:14"
"CAIXA DE ASSISTÊNCIA DOS MAGISTRADOS DE PERNAMBUCO (302627)";"Médico Hospitalar";"Pequeno";"173";"186";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"202208";"13/09/2022 15:15:14"
"CAIXA DE ASSISTENCIA DOS SERVIDORES DO ESTADO DE MATO GROSSO DO SUL (413534)";"Médico Hospitalar";"Grande";"90";"89";"   0,40";"   0,65";"   0,75";"   1,10";"    1,06";"   1,51";"   1,36";"   1,82";"   1,77";"   1,81";"   1,26";"   0,91";"202208";"13/09/2022 15:15:14"
"CAIXA DE ASSISTÊNCIA DOS SERVIDORES FAZENDÁRIOS ESTADUAIS (359122)";"Médico Hospitalar";"Pequeno";"173";"186";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"   1,22";"   1,21";"   1,21";"202208";"13/09/2022 15:15:14"
"CAIXA DE ASSISTÊNCIA OSWALDO CRUZ (417548)";"Médico Hospitalar";"Pequeno";"44";"43";"   7,78";"   8,51";"   5,39";"   6,11";"    9,08";"  14,99";"  15,62";"  14,77";"  10,26";"   8,73";"   5,07";"   6,50";"202208";"13/09/2022 15:15:14"
"CAIXA DE ASSISTÊNCIA SISTEMA SAÚDE INTEGRAL-SSI SAUDE (320820)";"Médico Hospitalar";"Médio";"137";"148";"   0,94";"   0,94";"   0,94";"   0,47";"    0,47";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"   0,49";"202208";"13/09/2022 15:15:14"
"CAIXA DE PREVIDÊNCIA E ASSISTÊNCIA DOS SERVIDORES DA FUNDAÇÃO NACIONAL DE SAÚDE - CAPESESP (324477)";"Médico Hospitalar";"Médio";"29";"41";"   8,29";"   6,66";"   7,62";"  10,29";"   12,13";"   9,83";"   7,63";"   7,51";"   6,75";"   6,01";"   7,13";"   9,72";"202208";"13/09/2022 15:15:14"
"CAIXA ECONÔMICA FEDERAL (312924)";"Médico Hospitalar";"Grande";"35";"30";"   5,58";"   7,19";"   7,70";"   8,10";"    7,95";"   7,98";"   9,25";"  10,91";"  10,62";"   8,91";"   7,94";"   7,78";"202208";"13/09/2022 15:15:14"
"CAMIM OPERADORA DE PLANO DE SAÚDE LTDA (319872)";"Médico Hospitalar";"Pequeno";"136";"177";"   1,32";"   0,65";"   1,28";"   1,90";"    1,87";"   1,84";"   0,61";"   0,60";"   0,59";"   0,59";"   1,16";"   0,57";"202208";"13/09/2022 15:15:14"
"CAPITAL PREV - FUNDACAO CAPITAL PREVIDENCIA E SAUDE (329665)";"Médico Hospitalar";"Pequeno";"173";"186";"0,00";"0,00";"0,00";"0,00";"0,00";"   5,68";"   5,63";"   8,37";"   2,77";"   2,77";"0,00";"   2,77";"202208";"13/09/2022 15:15:14"
"CARE PLUS MEDICINA ASSISTENCIAL LTDA. (379956)";"Médico Hospitalar";"Grande";"53";"61";"   3,21";"   3,15";"   2,59";"   2,28";"    2,32";"   2,60";"   2,38";"   2,13";"   1,49";"   1,69";"   2,12";"   2,62";"202208";"13/09/2022 15:15:14"
"CARING SAÚDE ASSISTÊNCIA MÉDICA LTDA. (422304)";"Médico Hospitalar";"Pequeno";"23";"19";"  21,05";"  38,17";"  31,91";"  23,26";"    4,75";"0,00";"0,00";"0,00";"   9,78";"  14,93";"  17,48";"   7,05";"202208";"13/09/2022 15:15:14"
"CASA DE SAÚDE NOSSA SENHORA DE FÁTIMA  LTDA. (327328)";"Médico Hospitalar";"Pequeno";"173";"186";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"202208";"13/09/2022 15:15:14"
"CASA DE SAÚDE SÃO BERNARDO S/A (363766)";"Médico Hospitalar";"Médio";"39";"49";"   6,23";"   5,89";"   4,09";"   3,49";"    3,45";"   3,29";"   3,83";"   4,61";"   3,81";"   3,21";"   2,68";"   2,39";"202208";"13/09/2022 15:15:14"
"CEAM BRASIL - PLANOS DE SAÚDE LTDA (311472)";"Médico Hospitalar";"Pequeno";"128";"122";"   1,55";"   1,85";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"   4,71";"   4,74";"   4,77";"0,00";"202208";"13/09/2022 15:15:14"
"CEDPLAN SAÚDE LTDA EPP (418749)";"Médico Hospitalar";"Pequeno";"173";"186";"0,00";"0,00";"0,00";"0,00";"    0,95";"   1,86";"   1,83";"   0,92";"0,00";"0,00";"0,00";"0,00";"202208";"13/09/2022 15:15:14"
"CELULOSE NIPO-BRASILEIRA S/A - CENIBRA (339270)";"Médico Hospitalar";"Pequeno";"173";"186";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"   0,81";"   0,81";"   0,81";"0,00";"0,00";"0,00";"202208";"13/09/2022 15:15:14"
"CEMIG SAÚDE (417505)";"Médico Hospitalar";"Médio";"96";"107";"   1,92";"   1,74";"   2,09";"   1,74";"    1,21";"   1,38";"   1,73";"   2,41";"   2,41";"   2,06";"   2,92";"   2,74";"202208";"13/09/2022 15:15:14"
"CENIBRA LOGÍSTICA LTDA (422436)";"Médico Hospitalar";"Pequeno";"173";"186";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"202208";"13/09/2022 15:15:14"
"CENTRAL NACIONAL UNIMED - COOPERATIVA CENTRAL (339679)";"Médico Hospitalar";"Grande";"26";"23";"   6,94";"   8,43";"   8,76";"   9,50";"    8,87";"   9,35";"   9,22";"   9,95";"  10,05";"  10,76";"  12,00";"  12,00";"202208";"13/09/2022 15:15:14"
"CENTRAL REGIONAL DAS COOPERATIVAS MÉDICAS - UNIMED CERRADO (386596)";"Médico Hospitalar";"Médio";"203";"204";"0,00";"0,00";"0,00";"   0,46";"    2,79";"   2,79";"   2,76";"   0,92";"   1,38";"   1,39";"   2,80";"   3,34";"202208";"13/09/2022 15:15:14"
"CENTRO CLÍNICO GAÚCHO LTDA (392804)";"Médico Hospitalar";"Grande";"45";"46";"   4,52";"   5,20";"   5,44";"   5,85";"    5,58";"   5,35";"   5,05";"   7,02";"   8,50";"   9,89";"   9,11";"   7,65";"202208";"13/09/2022 15:15:14"
"CENTRO CLINICO NH LTDA. (304212)";"Médico Hospitalar";"Pequeno";"173";"186";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"202208";"13/09/2022 15:15:14"
"CENTRO DE ENDOCRINOLOGIA DE JUNDIAÍ S/S LTDA (415910)";"Médico Hospitalar";"Pequeno";"173";"186";"0,00";"0,00";"  15,43";"  46,18";"   46,08";"  45,97";"  15,29";"  15,27";"0,00";"0,00";"0,00";"0,00";"202208";"13/09/2022 15:15:14"
"CENTRO HOSPITALAR ATIBAIA LTDA. (350699)";"Médico Hospitalar";"Pequeno";"122";"106";"   1,64";"   2,73";"   3,82";"   5,47";"    3,83";"   2,73";"   1,09";"   1,09";"   1,10";"   1,10";"   0,55";"   0,55";"202208";"13/09/2022 15:15:14"
"CENTRO MÉDICO FÁTIMA LTDA (408883)";"Médico Hospitalar";"Pequeno";"47";"113";"   7,58";"   2,38";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"   2,26";"   6,79";"   9,04";"202208";"13/09/2022 15:15:14"
"CENTRO TRASMONTANO DE SAO PAULO (303623)";"Médico Hospitalar";"Grande";"41";"31";"   4,88";"   7,09";"   7,85";"   8,78";"    7,48";"   9,12";"   9,55";"  11,25";"   9,50";"   9,90";"  10,13";"   9,77";"202208";"13/09/2022 15:15:14"
"CETESB - COMPANHIA AMBIENTAL DO ESTADO DE SÃO PAULO (324892)";"Médico Hospitalar";"Pequeno";"173";"186";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"202208";"13/09/2022 15:15:14"
"CGO SAÚDE - OPERADORA DE PLANOS DE SAÚDE LTDA  (413291)";"Médico Hospitalar";"Pequeno";"107";"115";"   2,14";"   2,17";"   1,46";"   2,21";"    2,21";"   2,21";"   0,74";"   1,47";"   1,46";"   1,46";"   2,19";"   2,19";"202208";"13/09/2022 15:15:14"
"CIRCULO OPERARIO CAXIENSE (310247)";"Médico Hospitalar";"Grande";"86";"90";"   0,68";"   0,59";"   0,49";"   0,50";"    0,40";"   0,70";"   0,50";"   0,51";"   0,51";"   0,72";"   0,83";"   0,52";"202208";"13/09/2022 15:15:14"
"CLIMESA CLÍNICA MÉDICA SANTANA LTDA (342955)";"Médico Hospitalar";"Pequeno";"96";"67";"   2,78";"   5,71";"   5,84";"   5,93";"    2,97";"   2,98";"0,00";"0,00";"0,00";"   6,86";"  14,44";"  15,17";"202208";"13/09/2022 15:15:14"
"CLÍNICA SÃO GABRIEL S/S LTDA (415944)";"Médico Hospitalar";"Pequeno";"173";"186";"0,00";"0,00";"   8,82";"   9,00";"    9,24";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"202208";"13/09/2022 15:15:14"
"CLINIPAM CLINICA PARANAENSE DE ASSISTENCIA MEDICA LTDA (340782)";"Médico Hospitalar";"Grande";"14";"18";"   8,67";"   9,57";"  10,93";"  11,73";"   11,76";"  11,68";"  11,42";"  12,90";"  12,96";"  12,51";"   9,71";"   8,48";"202208";"13/09/2022 15:15:14"
"CMI - PLANOS DE ASSISTÊNCIA MÉDICA LTDA (310239)";"Médico Hospitalar";"Pequeno";"30";"186";"  15,55";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"  11,35";"  11,53";"202208";"13/09/2022 15:15:14"
"COMPANHIA DAS DOCAS DO ESTADO DA BAHIA - CODEBA (419796)";"Médico Hospitalar";"Pequeno";"173";"186";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"202208";"13/09/2022 15:15:14"
"COMPANHIA DE ENGENHARIA DE TRAFEGO - CET (330051)";"Médico Hospitalar";"Pequeno";"146";"155";"   1,01";"   1,01";"   2,02";"   1,01";"    1,01";"   1,01";"   3,03";"   4,05";"   3,03";"   3,03";"   3,03";"   5,05";"202208";"13/09/2022 15:15:14"
"COMPANHIA DOCAS DO ESPIRITO SANTO - CODESA (416509)";"Médico Hospitalar";"Pequeno";"173";"186";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"202208";"13/09/2022 15:15:14"
"COMPANHIA ESPIRITO SANTENSE DE SANEAMENTO (392405)";"Médico Hospitalar";"Pequeno";"173";"186";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"202208";"13/09/2022 15:15:14"
"COMPANHIA NACIONAL DE ABASTECIMENTO - CONAB (334189)";"Médico Hospitalar";"Pequeno";"173";"186";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"   1,08";"   1,07";"   1,07";"0,00";"   1,08";"202208";"13/09/2022 15:15:14"
"COMSEDER - COOPERATIVA DE ASSISTÊNCIA MÉDICA DOS SERVIDORES DA SUPLAN E DO DER LTDA (390259)";"Médico Hospitalar";"Pequeno";"173";"186";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"202208";"13/09/2022 15:15:14"
"CONFERÊNCIA SÃO JOSÉ DO AVAÍ (321931)";"Médico Hospitalar";"Pequeno";"173";"186";"0,00";"0,00";"0,00";"0,00";"0,00";"   1,97";"   3,99";"   4,05";"   2,06";"0,00";"0,00";"0,00";"202208";"13/09/2022 15:15:14"
"CONFIANÇA ASSISTÊNCIA MÉDICO HOSPITALAR LTDA (410624)";"Médico Hospitalar";"Pequeno";"173";"165";"0,00";"   0,90";"   0,90";"   0,90";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"202208";"13/09/2022 15:15:14"
